Optimal solution:
Rc[alpha,mux1_plin] = 1.0
Nc[trunci3,cond_br6] = 0.0
Nc[cmpi10_plout,fork28] = 0.0
Nc[fork28,cond_br6] = 0.0
Nc[fork28,cond_br24] = 0.0
Nc[fork28,cond_br25] = 0.0
Nc[fork28,cond_br26] = 0.0
Nc[fork28,cond_br40] = 0.0
Nc[cond_br6,mux26_plin] = 0.0
Nc[cond_br6,sink4] = 0.0
Nc[cond_br24,mux8_plin] = 0.0
Nc[cond_br24,mux16_plin] = 0.0
Nc[cond_br25,mux9_plin] = 0.0
Nc[cond_br25,sink5] = 0.0
Nc[cond_br26,control_merge13] = 0.0
Nc[cond_br26,control_merge15] = 0.0
Nc[cond_br40,extsi61] = 0.0
Nc[cond_br40,sink6] = 0.0
Nc[extsi61,mux29_plin] = 0.0
Nc[mux29_plout,fork29] = 0.0
Nc[fork29,extsi62] = 0.0
Nc[fork29,extsi63] = 0.0
Nc[extsi62,addi23_plin] = 0.0
Nc[extsi63,fork30] = 0.0
Nc[fork30,LSQ_load3_plin] = 0.0
Nc[fork30,mc_load5_plin] = 0.0
Nc[fork30,LSQ_store2] = 0.0
Nc[mux16_plout,cond_br29] = 0.0
Nc[control_merge15,fork31] = 0.0
Nc[control_merge15,lazy_fork3] = 0.0
Nc[fork31,mux29_plin] = 0.0
Nc[fork31,mux16_plin] = 0.0
Nc[lazy_fork3,fork32] = 0.0
Nc[lazy_fork3,cond_br30] = 0.0
Nc[lazy_fork3,LSQ4] = 0.0
Nc[fork32,constant4] = 0.0
Nc[fork32,constant34] = 0.0
Nc[constant4,extsi15] = 0.0
Nc[constant34,cond_br42] = 0.0
Nc[source8,constant35] = 0.0
Nc[constant35,extsi64] = 0.0
Nc[extsi64,cmpi11_plin] = 0.0
Nc[source9,constant36] = 0.0
Nc[constant36,extsi65] = 0.0
Nc[extsi65,addi23_plin] = 0.0
Nc[LSQ_load3_plout,addi3_plin] = 0.0
Nc[LSQ_load3_plout,LSQ4] = 0.0
Nc[mc_load5_plout,addi3_plin] = 0.0
Nc[addi3_plout,LSQ_store2] = 0.0
Nc[LSQ_store2,LSQ4] = 0.0
Nc[addi23_plout,fork33] = 0.0
Nc[fork33,trunci4] = 0.0
Nc[fork33,cmpi11_plin] = 0.0
Nc[trunci4,cond_br41] = 0.0
Nc[cmpi11_plout,fork34] = 0.0
Nc[fork34,cond_br41] = 0.0
Nc[fork34,cond_br29] = 0.0
Nc[fork34,cond_br30] = 0.0
Nc[fork34,cond_br42] = 0.0
Nc[cond_br41,mux29_plin] = 1.0
Nc[cond_br41,sink7] = 0.0
Nc[cond_br29,mux16_plin] = 1.0
Nc[cond_br29,mux18_plin] = 0.0
Nc[cond_br30,control_merge15] = 1.0
Nc[cond_br30,control_merge16] = 0.0
Nc[cond_br42,extsi66] = 0.0
Nc[cond_br42,sink8] = 0.0
Nc[extsi66,mux30_plin] = 0.0
Nc[mux30_plout,fork35] = 0.0
Nc[fork35,extsi67] = 0.0
Nc[fork35,mux32_plin] = 0.0
Nc[extsi67,mc_load7_plin] = 0.0
Nc[mux18_plout,mux21_plin] = 0.0
Nc[control_merge16,fork36] = 0.0
Nc[control_merge16,fork37] = 0.0
Nc[fork36,mux30_plin] = 0.0
Nc[fork36,mux18_plin] = 0.0
Nc[fork37,constant37] = 0.0
Nc[fork37,control_merge17] = 0.0
Nc[constant37,extsi68] = 0.0
Nc[mc_load7_plout,mux20_plin] = 0.0
Nc[extsi68,mux31_plin] = 0.0
Nc[mux31_plout,fork38] = 0.0
Nc[fork38,extsi69] = 0.0
Nc[fork38,extsi70] = 0.0
Nc[fork38,extsi71] = 0.0
Nc[extsi69,addi24_plin] = 0.0
Nc[extsi70,addi25_plin] = 0.0
Nc[extsi71,LSQ_load6_plin] = 0.0
Nc[mux20_plout,addi4_plin] = 1.0
Nc[mux21_plout,fork39] = 0.0
Nc[fork39,muli4_plin] = 0.0
Nc[fork39,cond_br34] = 1.0
Nc[mux32_plout,fork40] = 0.0
Nc[fork40,extsi72] = 0.0
Nc[fork40,cond_br44] = 1.0
Nc[extsi72,muli13_plin] = 0.0
Nc[control_merge17,fork41] = 0.0
Nc[control_merge17,fork42] = 0.0
Nc[fork41,mux31_plin] = 0.0
Nc[fork41,mux20_plin] = 0.0
Nc[fork41,mux21_plin] = 0.0
Nc[fork41,mux32_plin] = 0.0
Nc[fork42,cond_br36] = 1.0
Nc[fork42,LSQ3] = 0.0
Nc[fork42,LSQ4] = 0.0
Nc[source10,constant38] = 0.0
Nc[constant38,fork43] = 0.0
Nc[fork43,extsi73] = 0.0
Nc[fork43,extsi74] = 0.0
Nc[extsi73,muli13_plin] = 0.0
Nc[extsi74,cmpi12_plin] = 0.0
Nc[source11,constant39] = 0.0
Nc[constant39,extsi75] = 0.0
Nc[extsi75,addi25_plin] = 0.0
Nc[muli13_plout,extsi76] = 0.0
Nc[extsi76,addi24_plin] = 0.0
Nc[addi24_plout,extsi77] = 0.0
Nc[extsi77,LSQ_load5_plin] = 0.0
Nc[LSQ_load5_plout,muli4_plin] = 0.0
Nc[LSQ_load5_plout,LSQ3] = 0.0
Nc[muli4_plout,muli5_plin] = 0.0
Nc[LSQ_load6_plout,muli5_plin] = 0.0
Nc[LSQ_load6_plout,LSQ4] = 0.0
Nc[muli5_plout,addi4_plin] = 0.0
Nc[addi4_plout,cond_br33] = 0.0
Nc[addi25_plout,fork44] = 0.0
Nc[fork44,trunci5] = 1.0
Nc[fork44,cmpi12_plin] = 0.0
Nc[trunci5,cond_br43] = 0.0
Nc[cmpi12_plout,fork45] = 0.0
Nc[fork45,cond_br43] = 0.0
Nc[fork45,cond_br33] = 0.0
Nc[fork45,cond_br34] = 0.0
Nc[fork45,cond_br44] = 0.0
Nc[fork45,cond_br36] = 0.0
Nc[cond_br43,mux31_plin] = 0.0
Nc[cond_br43,sink9] = 0.0
Nc[cond_br33,mux20_plin] = 0.0
Nc[cond_br33,mc_store0] = 0.0
Nc[cond_br34,mux21_plin] = 0.0
Nc[cond_br34,cond_br38] = 0.0
Nc[cond_br44,mux32_plin] = 0.0
Nc[cond_br44,fork46] = 0.0
Nc[cond_br36,control_merge17] = 0.0
Nc[cond_br36,fork47] = 0.0
Nc[fork46,extsi78] = 0.0
Nc[fork46,extsi79] = 0.0
Nc[extsi78,addi26_plin] = 0.0
Nc[extsi79,mc_store0] = 0.0
Nc[fork47,constant5] = 0.0
Nc[fork47,cond_br39] = 0.0
Nc[constant5,extsi22] = 0.0
Nc[source12,constant40] = 0.0
Nc[constant40,extsi80] = 0.0
Nc[extsi80,cmpi13_plin] = 0.0
Nc[source13,constant41] = 0.0
Nc[constant41,extsi81] = 0.0
Nc[extsi81,addi26_plin] = 0.0
Nc[addi26_plout,fork48] = 0.0
Nc[fork48,trunci6] = 0.0
Nc[fork48,cmpi13_plin] = 0.0
Nc[trunci6,cond_br45] = 0.0
Nc[cmpi13_plout,fork49] = 0.0
Nc[fork49,cond_br45] = 0.0
Nc[fork49,cond_br38] = 0.0
Nc[fork49,cond_br39] = 0.0
Nc[cond_br45,mux30_plin] = 0.0
Nc[cond_br45,sink10] = 0.0
Nc[cond_br38,mux18_plin] = 0.0
Nc[cond_br38,sink11] = 0.0
Nc[cond_br39,control_merge16] = 0.0
Nc[cond_br39,return1_plin] = 0.0
Nc[return1_plout,end1_plin] = 0.0
Nc[LSQ3,LSQ_load2_plin] = 0.0
Nc[LSQ3,LSQ_load5_plin] = 0.0
Nc[LSQ3,end1_plin] = 1.0
Nc[LSQ4,LSQ_load3_plin] = 0.0
Nc[LSQ4,LSQ_load6_plin] = 0.0
Nc[LSQ4,end1_plin] = 1.0
plRc[mux1] = 0.0
plRc[mux2] = 0.0
plRc[mux23] = 0.0
plRc[mux24] = 0.0
plRc[mux4] = 1.0
plRc[mux5] = 1.0
plRc[mux25] = 0.0
plRc[addi16] = 0.0
plRc[addi0] = 0.0
plRc[addi1] = 0.0
plRc[addi17] = 0.0
plRc[addi18] = 0.0
plRc[cmpi7] = 1.0
plRc[addi19] = 0.0
plRc[cmpi8] = 0.0
plRc[mux26] = 0.0
plRc[mux8] = 0.0
plRc[mux9] = 0.0
plRc[mux27] = 0.0
plRc[mux11] = 1.0
plRc[mux12] = 0.0
plRc[mux13] = 1.0
plRc[mux28] = 1.0
plRc[addi20] = 0.0
plRc[addi2] = 0.0
plRc[addi21] = 0.0
plRc[cmpi9] = 0.0
plRc[addi22] = 0.0
plRc[cmpi10] = 0.0
plRc[mux29] = 0.0
plRc[mux16] = 0.0
plRc[addi3] = 0.0
plRc[addi23] = 0.0
plRc[cmpi11] = 0.0
plRc[mux30] = 0.0
plRc[mux18] = 0.0
plRc[mux31] = 0.0
plRc[mux20] = 0.0
plRc[mux21] = 0.0
plRc[mux32] = 0.0
plRc[addi24] = 0.0
plRc[addi4] = 0.0
plRc[addi25] = 0.0
plRc[cmpi12] = 1.0
plRc[addi26] = 0.0
plRc[cmpi13] = 0.0
plRc[return1] = 0.0
plRc[end1] = 0.0
Lu[mux1] = 0.0
Lu[mux2] = 0.0
Lu[mux23] = 0.0
Lu[mux24] = 0.0
Lu[mux4] = 1.0
Lu[mux5] = 1.0
Lu[mux25] = 0.0
Lu[addi16] = 0.0
Lu[addi0] = 0.0
Lu[addi1] = 0.0
Lu[addi17] = 0.0
Lu[addi18] = 0.0
Lu[cmpi7] = 1.0
Lu[addi19] = 0.0
Lu[cmpi8] = 0.0
Lu[mux26] = 0.0
Lu[mux8] = 0.0
Lu[mux9] = 0.0
Lu[mux27] = 0.0
Lu[mux11] = 1.0
Lu[mux12] = 0.0
Lu[mux13] = 1.0
Lu[mux28] = 1.0
Lu[addi20] = 0.0
Lu[addi2] = 0.0
Lu[addi21] = 0.0
Lu[cmpi9] = 0.0
Lu[addi22] = 0.0
Lu[cmpi10] = 0.0
Lu[mux29] = 0.0
Lu[mux16] = 0.0
Lu[addi3] = 0.0
Lu[addi23] = 0.0
Lu[cmpi11] = 0.0
Lu[mux30] = 0.0
Lu[mux18] = 0.0
Lu[mux31] = 0.0
Lu[mux20] = 0.0
Lu[mux21] = 0.0
Lu[mux32] = 0.0
Lu[addi24] = 0.0
Lu[addi4] = 0.0
Lu[addi25] = 0.0
Lu[cmpi12] = 1.0
Lu[addi26] = 0.0
Lu[cmpi13] = 0.0
Lu[return1] = 0.0
Lu[end1] = 0.0
Theta[0] = 0.9999999991027312
Theta[1] = 1.0
Theta[2] = 0.0
Theta[3] = 1.0
Theta[4] = 0.0
Theta[5] = 0.0
Theta[6] = 0.9999999991027312
Theta[7] = 0.0
Theta[8] = 0.0
Theta_1[fork11,cond_br8] = 0.0
Theta_1[mux25_plout,fork5] = 0.0
Theta_1[muli11_plin,muli11_plout] = 3.999999998601258
Theta_1[cond_br4,sink3] = 0.0
Theta_1[mux32_plin,mux32_plout] = 0.0
Theta_1[constant38,fork43] = 0.0
Theta_1[fork33,trunci4] = 0.0
Theta_1[fork20,cond_br5] = 0.0
Theta_1[fork24,cond_br19] = 0.0
Theta_1[addi19_plin,addi19_plout] = 0.0
Theta_1[mux20_plout,addi4_plin] = 1.0000000000000004
Theta_1[lazy_fork0,cond_br11] = 0.0
Theta_1[lazy_fork2,LSQ4] = 0.0
Theta_1[fork8,constant2] = 0.0
Theta_1[extsi42,addi19_plin] = 0.0
Theta_1[cmpi9_plin,cmpi9_plout] = 0.0
Theta_1[constant25,cond_br3] = 0.0
Theta_1[constant27,extsi44] = 0.0
Theta_1[extsi46,mc_load6_plin] = 0.0
Theta_1[source8,constant35] = 0.0
Theta_1[fork31,mux16_plin] = 0.0
Theta_1[addi4_plout,cond_br33] = 0.0
Theta_1[fork34,cond_br30] = 0.0
Theta_1[extsi50,mc_load4_plin] = 0.0
Theta_1[mux29_plin,mux29_plout] = 0.0
Theta_1[lazy_fork1,cond_br22] = 0.0
Theta_1[constant33,extsi60] = 0.0
Theta_1[control_merge14,lazy_fork1] = 1.0000000000000004
Theta_1[extsi43,cmpi8_plin] = 0.0
Theta_1[fork39,muli4_plin] = 0.0
Theta_1[cond_br45,mux30_plin] = 0.0
Theta_1[cond_br42,sink8] = 0.0
Theta_1[mux26_plin,mux26_plout] = 0.0
Theta_1[beta,mux2_plin] = 0.0
Theta_1[source9,constant36] = 0.0
Theta_1[LSQ_store0,LSQ3] = 0.0
Theta_1[cond_br25,mux9_plin] = 0.0
Theta_1[extsi25,mux23_plin] = 0.0
Theta_1[extsi65,addi23_plin] = 0.0
Theta_1[extsi80,cmpi13_plin] = 0.0
Theta_1[fork26,constant3] = 0.0
Theta_1[cond_br0,mux24_plin] = 0.0
Theta_1[source0,constant23] = 0.0
Theta_1[addi2_plin,addi2_plout] = 0.0
Theta_1[cond_br40,sink6] = 0.0
Theta_1[extsi56,LSQ_load2_plin] = 0.0
Theta_1[cmpi12_plout,fork45] = 0.0
Theta_1[mux2_plin,mux2_plout] = 0.0
Theta_1[mc_load1_plin,mc_load1_plout] = 0.9999999995334183
Theta_1[cond_br8,mux4_plin] = 0.0
Theta_1[cond_br18,LSQ_store1] = 0.0
Theta_1[fork22,extsi53] = 0.0
Theta_1[cond_br11,control_merge12] = 0.0
Theta_1[addi3_plout,LSQ_store2] = 0.0
Theta_1[fork34,cond_br42] = 0.0
Theta_1[muli5_plout,addi4_plin] = 0.0
Theta_1[extsi48,addi21_plin] = 0.0
Theta_1[mc_load8_plin,mc_load8_plout] = 0.9999999995592789
Theta_1[extsi57,addi22_plin] = 0.0
Theta_1[fork41,mux32_plin] = 0.0
Theta_1[fork17,control_merge14] = 0.0
Theta_1[extsi38,addi16_plin] = 0.0
Theta_1[fork40,extsi72] = 0.0
Theta_1[mux12_plin,mux12_plout] = 0.0
Theta_1[mc_load4_plin,mc_load4_plout] = 1.3092094045903137e-15
Theta_1[addi17_plout,extsi41] = 0.0
Theta_1[addi18_plout,fork10] = 0.0
Theta_1[fork3,extsi28] = 3.999999997192262
Theta_1[fork35,mux32_plin] = 0.0
Theta_1[fork42,LSQ3] = 0.0
Theta_1[cmpi9_plout,fork24] = 0.0
Theta_1[LSQ_load5_plout,muli4_plin] = 0.0
Theta_1[fork25,extsi58] = 0.0
Theta_1[muli3_plin,muli3_plout] = 0.0
Theta_1[extsi32,muli10_plin] = 0.0
Theta_1[fork31,mux29_plin] = 0.0
Theta_1[cond_br24,mux16_plin] = 0.0
Theta_1[addi25_plout,fork44] = 0.0
Theta_1[cmpi13_plin,cmpi13_plout] = 0.0
Theta_1[mc_load2_plin,mc_load2_plout] = 0.9999999995334186
Theta_1[lazy_fork0,LSQ3] = 3.9999999967515403
Theta_1[extsi35,muli10_plin] = 0.0
Theta_1[fork19,cond_br20] = 0.0
Theta_1[fork1,mux23_plin] = 0.0
Theta_1[source13,constant41] = 0.0
Theta_1[LSQ_load5_plin,LSQ_load5_plout] = 0.0
Theta_1[fork45,cond_br36] = 0.0
Theta_1[extsi81,addi26_plin] = 0.0
Theta_1[cmpi11_plin,cmpi11_plout] = 0.0
Theta_1[muli1_plin,muli1_plout] = 3.999999997218122
Theta_1[fork40,cond_br44] = 1.0000000000000004
Theta_1[cond_br41,sink7] = 0.0
Theta_1[fork34,cond_br29] = 0.0
Theta_1[fork24,cond_br4] = 0.0
Theta_1[mc_load0_plout,muli0_plin] = 0.0
Theta_1[fork37,constant37] = 0.0
Theta_1[fork45,cond_br44] = 0.0
Theta_1[LSQ_load3_plout,addi3_plin] = 0.0
Theta_1[fork48,cmpi13_plin] = 0.0
Theta_1[fork46,extsi78] = 0.0
Theta_1[addi25_plin,addi25_plout] = 0.0
Theta_1[cond_br39,return1_plin] = 0.0
Theta_1[control_merge13,fork17] = 0.0
Theta_1[extsi64,cmpi11_plin] = 0.0
Theta_1[fork0,constant0] = 0.0
Theta_1[fork5,extsi31] = 0.0
Theta_1[extsi55,addi20_plin] = 0.0
Theta_1[trunci0,cond_br0] = 1.0
Theta_1[mux4_plout,cond_br8] = 0.0
Theta_1[cond_br13,mux8_plin] = 2.999999996751506
Theta_1[extsi74,cmpi12_plin] = 0.0
Theta_1[control_merge12,lazy_fork0] = 1.0
Theta_1[source1,constant24] = 0.0
Theta_1[extsi73,muli13_plin] = 0.0
Theta_1[fork21,mux27_plin] = 0.0
Theta_1[control_merge15,fork31] = 0.0
Theta_1[extsi30,fork4] = 0.0
Theta_1[control_merge17,fork41] = 0.0
Theta_1[LSQ3,end1_plin] = 1.0
Theta_1[control_merge12,fork7] = 0.0
Theta_1[cond_br8,cond_br13] = 0.0
Theta_1[LSQ4,end1_plin] = 1.0
Theta_1[source2,constant26] = 0.0
Theta_1[addi24_plout,extsi77] = 0.0
Theta_1[fork21,mux11_plin] = 0.0
Theta_1[source7,constant33] = 0.0
Theta_1[mux13_plin,mux13_plout] = 1.0000000000000004
Theta_1[return1_plin,return1_plout] = 0.0
Theta_1[fork24,cond_br18] = 0.0
Theta_1[cond_br2,mux23_plin] = 0.0
Theta_1[muli4_plin,muli4_plout] = 0.0
Theta_1[fork41,mux21_plin] = 0.0
Theta_1[constant5,extsi22] = -0.0
Theta_1[addi17_plin,addi17_plout] = 0.0
Theta_1[lazy_fork2,cond_br26] = 0.0
Theta_1[control_merge14,fork21] = 0.0
Theta_1[mux16_plin,mux16_plout] = 0.0
Theta_1[alpha,mux1_plin] = 0.0
Theta_1[fork4,mc_load3_plin] = 0.0
Theta_1[lazy_fork1,LSQ3] = 0.0
Theta_1[LSQ3,LSQ_load2_plin] = 0.0
Theta_1[cond_br19,mux12_plin] = 0.0
Theta_1[constant39,extsi75] = 0.0
Theta_1[mc_load1_plout,muli0_plin] = 0.0
Theta_1[fork33,cmpi11_plin] = 0.0
Theta_1[addi21_plin,addi21_plout] = 0.0
Theta_1[mux30_plout,fork35] = 0.0
Theta_1[mux28_plout,fork20] = 0.0
Theta_1[fork28,cond_br6] = 0.0
Theta_1[fork1,mux1_plin] = 0.0
Theta_1[fork43,extsi74] = 0.0
Theta_1[cond_br1,extsi42] = 0.0
Theta_1[addi21_plout,fork23] = 0.0
Theta_1[constant34,cond_br42] = 0.0
Theta_1[trunci6,cond_br45] = 0.0
Theta_1[extsi28,addi16_plin] = 0.0
Theta_1[constant2,extsi2] = -0.0
Theta_1[fork44,trunci5] = 1.0000000000000004
Theta_1[control_merge11,fork2] = 0.0
Theta_1[fork48,trunci6] = 0.0
Theta_1[muli10_plin,muli10_plout] = 3.999999997192272
Theta_1[constant0,extsi25] = 0.0
Theta_1[extsi52,cmpi9_plin] = 0.0
Theta_1[fork9,extsi34] = 0.0
Theta_1[constant28,extsi47] = 0.0
Theta_1[cond_br39,control_merge16] = 0.0
Theta_1[cond_br44,mux32_plin] = 0.0
Theta_1[extsi41,LSQ_store0] = 0.9999999981502891
Theta_1[fork46,extsi79] = 0.0
Theta_1[mux9_plout,mux13_plin] = 0.0
Theta_1[mc_load5_plout,addi3_plin] = 2.2737367544323206e-13
Theta_1[cond_br3,extsi45] = 2.9999999967515105
Theta_1[fork3,extsi27] = 0.0
Theta_1[fork13,trunci1] = 0.0
Theta_1[mux31_plin,mux31_plout] = 0.0
Theta_1[fork35,extsi67] = 0.0
Theta_1[addi18_plin,addi18_plout] = 0.0
Theta_1[trunci3,cond_br6] = 0.0
Theta_1[fork47,constant5] = 0.0
Theta_1[cmpi12_plin,cmpi12_plout] = 1.0000000000000004
Theta_1[extsi44,addi19_plin] = 0.0
Theta_1[constant3,extsi11] = -0.0
Theta_1[fork41,mux20_plin] = 0.0
Theta_1[fork27,trunci3] = 0.0
Theta_1[mux9_plin,mux9_plout] = 0.0
Theta_1[fork42,cond_br36] = 1.0000000000000004
Theta_1[cond_br14,mux2_plin] = 0.0
Theta_1[addi26_plout,fork48] = 0.0
Theta_1[cond_br36,fork47] = 0.0
Theta_1[lazy_fork3,fork32] = 0.0
Theta_1[extsi34,muli11_plin] = 0.0
Theta_1[addi23_plin,addi23_plout] = 0.0
Theta_1[cond_br4,mux27_plin] = 0.0
Theta_1[LSQ_load2_plout,muli2_plin] = 0.0
Theta_1[mux5_plin,mux5_plout] = 1.0
Theta_1[constant35,extsi64] = 0.0
Theta_1[fork32,constant34] = 0.0
Theta_1[mux16_plout,cond_br29] = 0.0
Theta_1[extsi67,mc_load7_plin] = 0.0
Theta_1[trunci2,cond_br4] = 0.0
Theta_1[extsi60,addi22_plin] = 0.0
Theta_1[mux13_plout,fork19] = 0.0
Theta_1[LSQ_load3_plin,LSQ_load3_plout] = 0.0
Theta_1[cond_br33,mc_store0] = 0.0
Theta_1[source6,constant32] = 0.0
Theta_1[fork24,cond_br22] = 0.0
Theta_1[fork44,cmpi12_plin] = 0.0
Theta_1[extsi54,addi21_plin] = 0.0
Theta_1[fork14,cond_br13] = 0.0
Theta_1[cond_br33,mux20_plin] = 0.0
Theta_1[fork29,extsi63] = 0.0
Theta_1[cmpi10_plout,fork28] = 0.0
Theta_1[cmpi13_plout,fork49] = 0.0
Theta_1[mux20_plin,mux20_plout] = 0.0
Theta_1[mc_load0_plin,mc_load0_plout] = 0.9999999995334183
Theta_1[fork15,extsi46] = 0.0
Theta_1[extsi29,addi18_plin] = 0.0
Theta_1[cond_br1,mux25_plin] = 0.0
Theta_1[mux23_plout,mux25_plin] = 0.0
Theta_1[fork6,mc_load0_plin] = 0.0
Theta_1[source11,constant39] = 0.0
Theta_1[control_merge15,lazy_fork3] = 0.0
Theta_1[extsi78,addi26_plin] = 0.0
Theta_1[source3,constant27] = 0.0
Theta_1[addi26_plin,addi26_plout] = 0.0
Theta_1[cond_br11,fork12] = 0.0
Theta_1[muli13_plout,extsi76] = 0.0
Theta_1[muli13_plin,muli13_plout] = 2.562257661712817e-15
Theta_1[fork25,extsi57] = 0.0
Theta_1[muli10_plout,extsi38] = 0.0
Theta_1[fork12,constant25] = 0.0
Theta_1[control_merge16,fork37] = 0.0
Theta_1[constant37,extsi68] = 0.0
Theta_1[muli12_plout,extsi55] = 0.0
Theta_1[return1_plout,end1_plin] = 0.0
Theta_1[muli5_plin,muli5_plout] = 0.9999999999999245
Theta_1[constant1,extsi26] = 0.0
Theta_1[addi23_plout,fork33] = 0.0
Theta_1[addi3_plin,addi3_plout] = 0.0
Theta_1[addi20_plout,extsi56] = 0.0
Theta_1[addi16_plin,addi16_plout] = 0.0
Theta_1[mux32_plout,fork40] = 0.0
Theta_1[cond_br19,cond_br24] = 0.0
Theta_1[cond_br24,mux8_plin] = 0.0
Theta_1[cmpi7_plin,cmpi7_plout] = 1.0
Theta_1[control_merge17,fork42] = 0.0
Theta_1[fork1,mux2_plin] = 0.0
Theta_1[fork43,extsi73] = 0.0
Theta_1[LSQ_load2_plout,LSQ3] = 0.0
Theta_1[fork26,constant31] = 0.0
Theta_1[cond_br30,control_merge16] = 0.0
Theta_1[cond_br2,sink1] = 0.0
Theta_1[cond_br15,control_merge11] = 0.0
Theta_1[mux25_plin,mux25_plout] = 0.0
Theta_1[fork3,extsi30] = 0.0
Theta_1[extsi26,mux24_plin] = 0.0
Theta_1[constant24,extsi37] = 0.0
Theta_1[muli0_plin,muli0_plout] = 3.9999999972181204
Theta_1[fork22,extsi52] = 0.0
Theta_1[extsi62,addi23_plin] = 0.0
Theta_1[LSQ_load5_plout,LSQ3] = 0.0
Theta_1[lazy_fork2,fork26] = 0.0
Theta_1[muli3_plout,addi2_plin] = 0.0
Theta_1[fork21,mux13_plin] = 0.0
Theta_1[cond_br5,mux28_plin] = 0.0
Theta_1[mux11_plout,addi2_plin] = 0.0
Theta_1[fork36,mux18_plin] = 0.0
Theta_1[fork39,cond_br34] = 1.0000000000000004
Theta_1[LSQ4,LSQ_load3_plin] = 0.0
Theta_1[control_merge13,fork16] = 0.0
Theta_1[fork14,cond_br2] = 0.0
Theta_1[fork7,mux24_plin] = 0.0
Theta_1[cond_br15,control_merge13] = 2.9999999967515176
Theta_1[fork23,trunci2] = 0.0
Theta_1[start_0,fork0] = 0.0
Theta_1[fork16,mux9_plin] = 0.0
Theta_1[mux27_plin,mux27_plout] = 0.0
Theta_1[source4,constant29] = 0.0
Theta_1[fork20,extsi51] = 0.0
Theta_1[muli2_plout,muli3_plin] = 0.0
Theta_1[addi20_plin,addi20_plout] = 0.0
Theta_1[mc_load8_plout,addi0_plin] = 0.0
Theta_1[fork49,cond_br39] = 0.0
Theta_1[cond_br45,sink10] = 0.0
Theta_1[muli2_plin,muli2_plout] = 0.0
Theta_1[cond_br6,mux26_plin] = 0.0
Theta_1[LSQ_load6_plin,LSQ_load6_plout] = 0.0
Theta_1[end1_plin,end1_plout] = 0.0
Theta_1[fork7,mux4_plin] = 0.0
Theta_1[extsi70,addi25_plin] = 0.0
Theta_1[cond_br22,lazy_fork2] = 0.0
Theta_1[fork45,cond_br43] = 0.0
Theta_1[mux24_plout,fork3] = 0.0
Theta_1[fork14,cond_br3] = 0.0
Theta_1[source5,constant30] = 0.0
Theta_1[fork7,mux5_plin] = 0.0
Theta_1[cond_br25,sink5] = 0.0
Theta_1[fork21,mux12_plin] = 0.0
Theta_1[fork30,LSQ_load3_plin] = 0.0
Theta_1[fork10,cmpi7_plin] = 0.0
Theta_1[mc_load3_plin,mc_load3_plout] = 0.9999999995334186
Theta_1[fork30,LSQ_store2] = 0.0
Theta_1[fork34,cond_br41] = 0.0
Theta_1[fork2,constant1] = 0.0
Theta_1[cond_br20,cond_br25] = 0.0
Theta_1[lazy_fork3,cond_br30] = 0.0
Theta_1[fork38,extsi70] = 0.0
Theta_1[extsi63,fork30] = 0.0
Theta_1[fork10,trunci0] = 0.0
Theta_1[fork24,cond_br5] = 0.0
Theta_1[addi16_plout,extsi39] = 0.0
Theta_1[extsi76,addi24_plin] = 0.0
Theta_1[addi19_plout,fork13] = 0.0
Theta_1[extsi51,addi20_plin] = 0.0
Theta_1[cond_br34,mux21_plin] = 0.0
Theta_1[fork11,cond_br1] = 0.0
Theta_1[cond_br36,control_merge17] = 0.0
Theta_1[addi1_plout,LSQ_store0] = 0.0
Theta_1[fork0,control_merge11] = 0.0
Theta_1[constant4,extsi15] = -0.0
Theta_1[cond_br13,mux1_plin] = 0.0
Theta_1[fork18,extsi50] = 0.0
Theta_1[extsi45,mux26_plin] = 0.0
Theta_1[fork28,cond_br26] = 0.0
Theta_1[mux8_plin,mux8_plout] = 0.0
Theta_1[fork47,cond_br39] = 0.0
Theta_1[extsi47,mux27_plin] = 0.0
Theta_1[addi22_plout,fork27] = 0.0
Theta_1[addi2_plout,cond_br18] = 0.0
Theta_1[muli11_plout,extsi40] = 0.0
Theta_1[LSQ3,LSQ_load5_plin] = 0.0
Theta_1[fork32,constant4] = 0.0
Theta_1[mux4_plin,mux4_plout] = 1.0
Theta_1[fork28,cond_br24] = 0.0
Theta_1[fork30,mc_load5_plin] = -2.2737367544323206e-13
Theta_1[extsi75,addi25_plin] = 0.0
Theta_1[fork7,mux25_plin] = 0.0
Theta_1[control_merge16,fork36] = 0.0
Theta_1[fork36,mux30_plin] = 0.0
Theta_1[extsi69,addi24_plin] = 0.0
Theta_1[mux28_plin,mux28_plout] = 1.0000000000000004
Theta_1[cond_br20,mux13_plin] = 0.0
Theta_1[fork21,mux28_plin] = 0.0
Theta_1[fork41,mux31_plin] = 0.0
Theta_1[fork45,cond_br34] = 0.0
Theta_1[muli1_plout,addi1_plin] = 0.0
Theta_1[extsi27,addi17_plin] = 3.9999999986012615
Theta_1[mc_load3_plout,muli1_plin] = 0.0
Theta_1[cond_br38,sink11] = 0.0
Theta_1[fork49,cond_br38] = 0.0
Theta_1[mux5_plout,cond_br9] = 0.0
Theta_1[cond_br29,mux18_plin] = 0.0
Theta_1[cond_br5,fork25] = 0.0
Theta_1[cmpi8_plin,cmpi8_plout] = 0.0
Theta_1[cond_br14,mux9_plin] = 2.99999999675152
